,value,group
620,13713,H
621,59276,H
622,34818,H
623,23422,H
624,24244,H
625,68158,H
626,20190,H
627,55673,H
628,36722,H
629,11224,H
630,12339,H
631,7359,H
632,16485,H
633,14550,H
634,21539,H
635,22233,H
636,12342,H
637,67087,H
638,11538,H
639,11958,H
640,61606,H
641,11937,H
642,23858,H
643,10465,H
644,17467,H
645,18633,H
646,6474,H
647,27864,H
648,53742,H
649,22971,H
650,40564,H
651,5466,H
652,31435,H
653,26746,H
654,14579,H
655,39457,H
656,19761,H
657,23602,H
658,15291,H
659,22283,H
660,23597,H
661,14180,H
662,19133,H
663,7987,H
664,19314,H
665,15237,H
666,48123,H
667,15256,H
668,14590,H
669,28069,H
670,69400,H
671,42354,H
672,15211,H
673,43686,H
674,22593,H
675,15085,H
676,37378,H
677,12650,H
678,16057,H
679,146525,H
680,12241,H
681,22728,H
682,29212,H
683,18939,H
684,18706,H
685,154914,H
686,72722,H
687,22589,H
688,41921,H
689,4735,H
690,40658,H
691,22534,H
692,14551,H
693,26947,H
694,42505,H
695,54601,H
696,14863,H
697,9630,H
698,26698,H
699,21514,H
700,28684,H
701,15622,H
702,23978,H
703,12284,H
704,9747,H
705,58863,H
706,90164,H
707,13792,H
708,41550,H
709,10867,H
710,84282,H
711,22751,H
712,21206,H
713,22278,H
714,94942,H
715,37172,H
716,7676,H
717,51762,H
718,32587,H
719,11299,H
720,77535,H
721,17107,H
722,12912,H
723,20059,H
724,76577,H
725,12308,H
726,28283,H
727,21986,H
728,33650,H
729,91335,H
730,27791,H
731,61004,H
732,10943,H
733,67330,H
734,43901,H
735,16104,H
736,18903,H
737,94778,H
738,20199,H
739,7138,H
740,10049,H
741,55757,H
742,24096,H
743,16290,H
744,102058,H
745,77205,H
746,24734,H
747,4856,H
748,28287,H
749,15450,H
750,26267,H
751,20153,H
752,19407,H
753,25943,H
754,17211,H
755,8107,H
756,16174,H
757,5957,H
758,25035,H
759,18200,H
760,8939,H
761,7508,H
762,22959,H
763,24454,H
764,44400,H
765,15998,H
766,9330,H
767,11378,H
768,58529,H
769,6968,H
770,29545,H
771,18348,H
772,26580,H
773,11082,H
774,9207,H
775,17013,H
776,11205,H
777,20319,H
778,26051,H
779,16610,H
780,14657,H
781,4935,H
782,15959,H
783,15513,H
784,12534,H
785,20233,H
786,10763,H
787,60457,H
788,16677,H
789,15168,H
790,7369,H
791,13444,H
792,22017,H
793,13176,H
794,9631,H
795,15878,H
796,11075,H
797,7630,H
798,9597,H
799,34458,H
800,12282,H
801,8775,H
802,11092,H
803,33913,H
804,11835,H
805,20224,H
806,27001,H
807,31650,H
808,14061,H
809,7076,H
810,12123,H
811,23437,H
812,18889,H
813,16086,H
814,9539,H
815,5687,H
816,34682,H
817,50256,H
818,20010,H
819,25019,H
820,17104,H
821,27359,H
822,33708,H
823,16350,H
824,21941,H
825,22135,H
826,10078,H
827,29612,H
828,106267,H
829,11431,H
830,52568,H
831,38383,H
832,10932,H
833,26995,H
834,8549,H
835,12043,H
836,29300,H
837,54605,H
838,33752,H
839,5925,H
840,43823,H
841,20936,H
842,12719,H
843,13514,H
844,13065,H
845,63794,H
846,13640,H
847,102470,H
848,13349,H
849,24384,H
850,163435,H
851,19989,H
852,34727,H
853,34965,H
854,8110,H
855,29317,H
856,9765,H
857,29998,H
858,18186,H
859,10448,H
860,49937,H
861,14451,H
862,19824,H
863,17504,H
864,25033,H
865,55484,H
866,14898,H
867,12323,H
868,19566,H
869,28712,H
870,27036,H
871,6716,H
872,26512,H
873,10457,H
874,17624,H
875,11939,H
876,31901,H
877,7697,H
878,17077,H
879,26433,H
880,85932,H
881,15463,H
882,22049,H
883,10722,H
884,8442,H
885,11474,H
886,30415,H
887,13059,H
888,27306,H
889,18316,H
890,14291,H
891,44543,H
892,19014,H
893,18633,H
894,23200,H
895,12760,H
896,15876,H
897,10064,H
898,23240,H
899,44550,H
900,17882,H
901,12536,H
902,17887,H
903,108683,H
904,27580,H
905,95359,H
906,7559,H
907,13042,H
908,74781,H
909,98833,H
910,132771,H
911,138350,H
912,12332,H
913,27974,H
914,7137,H
915,122437,H
916,23925,H
917,14116,H
918,138014,H
919,13818,H
920,75033,H
921,37145,H
922,62318,H
923,41850,H
924,55633,H
925,9638,H
926,24369,H
927,9831,H
928,13627,H
929,6866,H
930,25969,H
931,13965,H
932,7435,H
933,13982,H
934,7061,H
935,6479,H
936,17838,H
937,34463,H
938,26772,H
939,8687,H
940,10268,H
941,7574,H
942,10043,H
943,9099,H
944,12823,H
945,19292,H
946,13435,H
947,9569,H
948,8361,H
949,44409,H
950,7198,H
951,15054,H
952,19551,H
953,25710,H
954,10716,H
955,10081,H
956,16199,H
957,19986,H
958,28801,H
959,66572,H
960,34150,H
961,22328,H
962,13790,H
963,18701,H
964,10597,H
965,17547,H
966,33698,H
967,24664,H
968,39656,H
969,70152,H
970,12866,H
971,25048,H
972,6598,H
973,51036,H
974,34154,H
975,6614,H
976,32184,H
977,39281,H
978,36859,H
979,37266,H
980,16609,H
981,14200,H
982,12145,H
983,9614,H
984,28077,H
985,7970,H
986,57170,H
987,24609,H
988,35224,H
989,24981,H
990,10671,H
991,33680,H
992,13345,H
993,25132,H
994,20392,H
995,51758,H
996,18997,H
997,20146,H
998,12290,H
999,18464,H
1000,40863,H
1001,24951,H
1002,66482,H
1003,14717,H
1004,41237,H
1005,21159,H
1006,20809,H
1007,26412,H
1008,18209,H
1009,26676,H
1010,22983,H
1011,29882,H
1012,59198,H
1013,14100,H
1014,68560,H
1015,37166,H
1016,14148,H
1017,46804,H
1018,10628,H
1019,14110,H
1020,36943,H
1021,17263,H
1022,28467,H
1023,22331,H
1024,33131,H
1025,16478,H
1026,26552,H
1027,23512,H
1028,17664,H
1029,5087,H
1030,40695,H
1031,56170,H
1032,12494,H
1033,32010,H
1034,24079,H
1035,20180,H
1036,26743,H
1037,11346,H
1038,36265,H
1039,17000,H
1040,28326,H
1041,69665,H
1042,11151,H
1043,37471,H
1044,27592.0,S
