author/0/name,author/1/name,author/2/name,author/3/name,author/4/name,author/5/name,citekey,collection,id,journal/name,journal/volume,journal/number,journal/pages,sections/0,sections/1,sections/2,sections/3,summarized,summarizer,title,type,use_image,year,sections/4,booktitle,editor/0/name/name,editor/0/name/ID,editor/1/name/name,editor/1/name/ID,pages,publisher/name,series,volume,organization,address,publisher/address,editor/2/name/name,editor/2/name/ID,howpublished,note,school,number,author/6/name,author/7/name,journal/month,author/0/@pid,author/0/text,author/1/@pid,author/1/text,author/2/@pid,author/2/text,doi,new_paper,url,author/3/@pid,author/3/text,author/4/@pid,author/4/text,author/5/@pid,author/5/text,author/6/@pid,author/6/text
"Schöttler, Sarah","Yang, Yalong","Pfister, Hanspeter","Bach, Benjamin",,,DBLP:journals/cgf/SchottlerYPB21,bibtex,DBLP:journals/cgf/SchottlerYPB21,Comput. Graph. Forum,40,6,5--33,survey,,,,FALSE,unassigned,"Visualizing and Interacting with Geospatial Networks: A Survey and
Design Space",article,FALSE,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGee, Fintan","Ghoniem, Mohammad","Melançon, Guy","Otjacques, Benoît","Pinaud, Bruno",,DBLP:journals/cgf/McGeeGMOP19,bibtex,DBLP:journals/cgf/McGeeGMOP19,Comput. Graph. Forum,38,6,125--149,survey,,,,FALSE,unassigned,The State of the Art in Multilayer Network Visualization,article,FALSE,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Di Bartolomeo, Sara","Crnovrsanin, Tarik","Saffo, David","Dunne, Cody",,,di2023designing,bibtex,di2023designing,,,,,survey,,,,FALSE,unassigned,Designing Computational Evaluations for Graph Layout Algorithms: the State of the Art,article,FALSE,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Börner, Katy","Klavans, Richard","Patek, Michael","Zoss, Angela M.","Biberstine, Joseph R.","Light, Robert P.",borner2012,bibtex,borner2012,PLOS ONE,7,7,1--10,survey,,,,FALSE,unassigned,Design and Update of a Classification System: The UCSD Map of Science,article,FALSE,2012,,,,,,,,,,,,,,,,,,,,"Larivière, Vincent","Boyack, Kevin W.",7,,,,,,,,,,,,,,,,,
"Bonamy, Marthe","Mohar, Bojan","Wesolek, Alexandra",,,,DBLP:conf/gd/BonamyMW20,bibtex,DBLP:conf/gd/BonamyMW20,,,,,spherical,theory,,,FALSE,unassigned,Limiting Crossing Numbers for Geodesic Drawings on the Sphere,inproceedings,FALSE,2020,,"Graph Drawing and Network Visualization - 28th International Symposium,
GD 2020, Vancouver, BC, Canada, September 16-18, 2020, Revised Selected
Papers","Auber, David",AuberDavid,"Valtr, Pavel",ValtrPavel,341--355,Springer,Lecture Notes in Computer Science,12590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross, Markus H","Sprenger, Thomas C","Finger, J",,,,gross1997visualizing,bibtex,gross1997visualizing,,,,,spherical,technique,application,,FALSE,unassigned,Visualizing information on a sphere,inproceedings,FALSE,1997,,"Proceedings of VIZ'97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium",,,,,11--16,,,,IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu, Yingxin","Takatsuka, Masahiro",,,,,wu2006visualizing,bibtex,wu2006visualizing,,,,,spherical,application,,,TRUE,Dhruv,Visualizing multivariate network on the surface of a sphere,inproceedings,FALSE,2006,,Proceedings of the 2006 Asia-Pacific Symposium on Information Visualisation-Volume 60,,,,,77--83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biedl, Therese",,,,,,DBLP:conf/gd/Biedl22,bibtex,DBLP:conf/gd/Biedl22,,,,,theory,torus,proof,,TRUE,Dhruv,Visibility Representations of Toroidal and Klein-bottle Graphs,inproceedings,FALSE,2022,,"Graph Drawing and Network Visualization - 30th International Symposium,
GD 2022, Tokyo, Japan, September 13-16, 2022, Revised Selected Papers","Angelini, Patrizio",AngeliniPatrizio,"Hanxleden, Reinhard von",HanxledenReinhardvon,404--417,Springer,Lecture Notes in Computer Science,13764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nobre, Carolina","Meyer, Miriah D.","Streit, Marc","Lex, Alexander",,,DBLP:journals/cgf/NobreMSL19,bibtex,DBLP:journals/cgf/NobreMSL19,Comput. Graph. Forum,38,3,807--832,survey,,,,TRUE,Dhruv,The State of the Art in Visualizing Multivariate Networks,article,TRUE,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Von Landesberger, Tatiana","Kuijper, Arjan","Schreck, Tobias","Kohlhammer, Jörn","van Wijk, Jarke J","Fekete, J-D",von2011visual,bibtex,von2011visual,,,,,survey,large,,,TRUE,Dhruv,Visual analysis of large graphs: state-of-the-art and future research challenges,inproceedings,TRUE,2011,,Computer graphics forum,,,,,1719--1749,,,30,Wiley Online Library,,,,,,,,6,"Fellner, Dieter W",,,,,,,,,,,,,,,,,,,
